[
  <<|java+interface:///org/hibernate/id/BulkInsertionCapableIdentifierGenerator|,|java+interface:///org/hibernate/id/IdentifierGenerator|>,|java+class:///org/hibernate/id/CompositeNestedGeneratedValueGenerator|>,
  <<|java+class:///org/hibernate/jdbc/AbstractReturningWork|,|java+interface:///org/hibernate/jdbc/WorkExecutorVisitable|>,|java+anonymousClass:///org/hibernate/internal/SessionImpl/doReturningWork(org/hibernate/jdbc/ReturningWork)/$anonymous1|>,
  <<|java+class:///org/hibernate/tool/hbm2ddl/MultipleLinesSqlCommandExtractor|,|java+interface:///org/hibernate/tool/hbm2ddl/ImportSqlCommandExtractor|>,|java+class:///org/hibernate/tool/hbm2ddl/SingleLineSqlCommandExtractor|>,
  <<|java+class:///org/hibernate/type/ShortType|,|java+interface:///org/hibernate/type/PrimitiveType|>,|java+class:///org/hibernate/type/BooleanType|>,
  <<|java+class:///org/hibernate/engine/jdbc/ContextualLobCreator|,|java+interface:///org/hibernate/engine/jdbc/LobCreator|>,|java+class:///org/hibernate/engine/jdbc/AbstractLobCreator|>,
  <<|java+class:///org/hibernate/engine/jdbc/spi/ConnectionObserverAdapter|,|java+interface:///org/hibernate/engine/jdbc/spi/ConnectionObserver|>,|java+class:///org/hibernate/internal/ConnectionObserverStatsBridge|>,
  <<|java+class:///org/hibernate/type/FloatType|,|java+interface:///org/hibernate/type/PrimitiveType|>,|java+class:///org/hibernate/type/BooleanType|>,
  <<|java+class:///org/hibernate/id/AbstractUUIDGenerator|,|java+interface:///org/hibernate/id/IdentifierGenerator|>,|java+class:///org/hibernate/id/CompositeNestedGeneratedValueGenerator|>,
  <<|java+class:///org/hibernate/testing/cache/BaseEntityRegionAccessStrategy|,|java+interface:///org/hibernate/cache/spi/access/EntityRegionAccessStrategy|>,|java+class:///org/hibernate/cache/ehcache/internal/strategy/TransactionalEhcacheEntityRegionAccessStrategy|>,
  <<|java+class:///org/hibernate/persister/entity/AbstractEntityPersister/StructuredCacheEntryHelper|,|java+interface:///org/hibernate/persister/entity/AbstractEntityPersister/CacheEntryHelper|>,|java+class:///org/hibernate/persister/entity/AbstractEntityPersister/ReferenceCacheEntryHelper|>,
  <<|java+class:///org/hibernate/ejb/packaging/AbstractJarVisitor|,|java+interface:///org/hibernate/ejb/packaging/JarVisitor|>,|java+class:///org/hibernate/ejb/packaging/JarProtocolVisitor|>,
  <<|java+class:///org/hibernate/exception/spi/AbstractSQLExceptionConversionDelegate|,|java+interface:///org/hibernate/exception/spi/SQLExceptionConversionDelegate|>,|java+anonymousClass:///org/hibernate/dialect/SQLServer2005Dialect/buildSQLExceptionConversionDelegate()/$anonymous1|>,
  <<|java+class:///org/hibernate/internal/AbstractScrollableResults|,|java+interface:///org/hibernate/ScrollableResults|>,|java+class:///org/hibernate/internal/ScrollableResultsImpl|>,
  <<|java+class:///org/hibernate/metamodel/source/annotations/attribute/type/AbstractAttributeTypeResolver|,|java+interface:///org/hibernate/metamodel/source/annotations/attribute/type/AttributeTypeResolver|>,|java+class:///org/hibernate/metamodel/source/annotations/attribute/type/CompositeAttributeTypeResolver|>,
  <<|java+class:///org/hibernate/service/jdbc/connections/internal/ProxoolConnectionProvider|,|java+interface:///org/hibernate/service/jdbc/connections/spi/ConnectionProvider|>,|java+class:///org/hibernate/service/jdbc/connections/internal/UserSuppliedConnectionProviderImpl|>,
  <<|java+class:///org/hibernate/envers/strategy/DefaultAuditStrategy|,|java+interface:///org/hibernate/envers/strategy/AuditStrategy|>,|java+class:///org/hibernate/envers/strategy/ValidityAuditStrategy|>,
  <<|java+class:///org/hibernate/id/ForeignGenerator|,|java+interface:///org/hibernate/id/IdentifierGenerator|>,|java+class:///org/hibernate/id/CompositeNestedGeneratedValueGenerator|>,
  <<|java+class:///org/hibernate/engine/transaction/internal/jta/JtaTransactionFactory|,|java+interface:///org/hibernate/engine/transaction/spi/TransactionFactory|>,|java+class:///org/hibernate/engine/transaction/internal/jdbc/JdbcTransactionFactory|>,
  <<|java+class:///org/hibernate/metamodel/source/hbm/PropertyAttributeSourceImpl|,|java+interface:///org/hibernate/metamodel/source/binder/SingularAttributeSource|>,|java+class:///org/hibernate/metamodel/source/annotations/attribute/SingularAttributeSourceImpl|>,
  <<|java+class:///org/hibernate/tuple/entity/DynamicMapEntityTuplizer/BasicEntityNameResolver|,|java+interface:///org/hibernate/EntityNameResolver|>,|java+class:///org/hibernate/internal/SessionImpl/CoordinatingEntityNameResolver|>,
  <<|java+class:///org/hibernate/testing/cache/BaseCollectionRegionAccessStrategy|,|java+interface:///org/hibernate/cache/spi/access/CollectionRegionAccessStrategy|>,|java+class:///org/hibernate/cache/ehcache/internal/strategy/ReadWriteEhcacheCollectionRegionAccessStrategy|>,
  <<|java+class:///org/hibernate/testing/cache/CachingRegionFactory|,|java+interface:///org/hibernate/cache/spi/RegionFactory|>,|java+class:///org/hibernate/cache/infinispan/InfinispanRegionFactory|>,
  <<|java+class:///org/hibernate/metamodel/relational/Sequence|,|java+interface:///org/hibernate/metamodel/relational/Exportable|>,|java+class:///org/hibernate/metamodel/relational/Table|>,
  <<|java+class:///org/hibernate/type/CurrencyType|,|java+interface:///org/hibernate/type/LiteralType|>,|java+class:///org/hibernate/type/UUIDCharType|>,
  <<|java+class:///org/hibernate/persister/entity/AbstractEntityPersister/StandardCacheEntryHelper|,|java+interface:///org/hibernate/persister/entity/AbstractEntityPersister/CacheEntryHelper|>,|java+class:///org/hibernate/persister/entity/AbstractEntityPersister/ReferenceCacheEntryHelper|>,
  <<|java+class:///org/hibernate/envers/entities/mapper/relation/AbstractToOneMapper|,|java+interface:///org/hibernate/envers/entities/mapper/PropertyMapper|>,|java+class:///org/hibernate/envers/entities/mapper/relation/MapCollectionMapper|>,
  <<|java+interface:///org/hibernate/type/AbstractComponentType|,|java+interface:///org/hibernate/type/CompositeType|>,|java+class:///org/hibernate/type/ComponentType|>,
  <<|java+class:///org/hibernate/id/SequenceGenerator|,|java+interface:///org/hibernate/id/Configurable|>,|java+class:///org/hibernate/id/Assigned|>,
  <<|java+class:///org/hibernate/envers/query/criteria/AuditConjunction|,|java+interface:///org/hibernate/envers/query/criteria/AuditCriterion|>,|java+class:///org/hibernate/envers/query/criteria/InAuditExpression|>,
  <<|java+class:///org/hibernate/service/jdbc/connections/internal/DatasourceConnectionProviderImpl|,|java+interface:///org/hibernate/service/spi/Stoppable|>,|java+class:///org/hibernate/service/jdbc/connections/internal/C3P0ConnectionProvider|>,
  <<|java+class:///org/hibernate/envers/entities/mapper/relation/AbstractCollectionMapper|,|java+interface:///org/hibernate/envers/entities/mapper/PropertyMapper|>,|java+class:///org/hibernate/envers/entities/mapper/relation/MapCollectionMapper|>,
  <<|java+class:///org/hibernate/type/DoubleType|,|java+interface:///org/hibernate/type/PrimitiveType|>,|java+class:///org/hibernate/type/BooleanType|>,
  <<|java+class:///org/hibernate/metamodel/source/hbm/SingularIdentifierAttributeSourceImpl|,|java+interface:///org/hibernate/metamodel/source/binder/SingularAttributeSource|>,|java+class:///org/hibernate/metamodel/source/annotations/attribute/SingularAttributeSourceImpl|>,
  <<|java+class:///org/hibernate/id/insert/AbstractReturningDelegate|,|java+interface:///org/hibernate/id/insert/InsertGeneratedIdentifierDelegate|>,|java+class:///org/hibernate/id/IdentityGenerator/BasicDelegate|>,
  <<|java+class:///org/hibernate/id/IncrementGenerator|,|java+interface:///org/hibernate/id/IdentifierGenerator|>,|java+class:///org/hibernate/id/CompositeNestedGeneratedValueGenerator|>,
  <<|java+class:///org/hibernate/metamodel/relational/PrimaryKey|,|java+interface:///org/hibernate/metamodel/relational/Exportable|>,|java+class:///org/hibernate/metamodel/relational/Table|>,
  <<|java+class:///org/hibernate/envers/query/criteria/AggregatedAuditExpression|,|java+interface:///org/hibernate/envers/query/criteria/AuditCriterion|>,|java+class:///org/hibernate/envers/query/criteria/InAuditExpression|>,
  <<|java+class:///org/hibernate/envers/event/EnversIntegrator|,|java+interface:///org/hibernate/integrator/spi/Integrator|>,|java+class:///org/hibernate/cfg/beanvalidation/BeanValidationIntegrator|>,
  <<|java+interface:///org/hibernate/metamodel/relational/Constraint|,|java+interface:///org/hibernate/metamodel/relational/Exportable|>,|java+class:///org/hibernate/metamodel/relational/Table|>,
  <<|java+interface:///org/hibernate/engine/jdbc/spi/NonDurableConnectionObserver|,|java+interface:///org/hibernate/engine/jdbc/spi/ConnectionObserver|>,|java+class:///org/hibernate/internal/ConnectionObserverStatsBridge|>,
  <<|java+class:///org/hibernate/id/MultipleHiLoPerTableGenerator|,|java+interface:///org/hibernate/id/Configurable|>,|java+class:///org/hibernate/id/Assigned|>,
  <<|java+class:///org/hibernate/type/CompositeCustomType|,|java+interface:///org/hibernate/type/CompositeType|>,|java+class:///org/hibernate/type/ComponentType|>,
  <<|java+class:///org/hibernate/loader/custom/CustomLoader/NonScalarResultColumnProcessor|,|java+interface:///org/hibernate/loader/custom/CustomLoader/ResultColumnProcessor|>,|java+class:///org/hibernate/loader/custom/CustomLoader/ScalarResultColumnProcessor|>,
  <<|java+class:///org/hibernate/proxy/dom4j/Dom4jProxyFactory|,|java+interface:///org/hibernate/proxy/ProxyFactory|>,|java+class:///org/hibernate/proxy/map/MapProxyFactory|>,
  <<|java+class:///org/hibernate/testing/jta/JtaAwareConnectionProviderImpl|,|java+interface:///org/hibernate/service/jdbc/connections/spi/ConnectionProvider|>,|java+class:///org/hibernate/service/jdbc/connections/internal/UserSuppliedConnectionProviderImpl|>,
  <<|java+class:///org/hibernate/service/jdbc/dialect/internal/AbstractDialectResolver|,|java+interface:///org/hibernate/service/jdbc/dialect/spi/DialectResolver|>,|java+class:///org/hibernate/service/jdbc/dialect/internal/DialectResolverSet|>,
  <<|java+class:///org/hibernate/id/GUIDGenerator|,|java+interface:///org/hibernate/id/IdentifierGenerator|>,|java+class:///org/hibernate/id/CompositeNestedGeneratedValueGenerator|>,
  <<|java+class:///org/hibernate/type/YesNoType|,|java+interface:///org/hibernate/type/PrimitiveType|>,|java+class:///org/hibernate/type/BooleanType|>,
  <<|java+class:///org/hibernate/id/enhanced/SequenceStyleGenerator|,|java+interface:///org/hibernate/id/Configurable|>,|java+class:///org/hibernate/id/Assigned|>,
  <<|java+class:///org/hibernate/service/jdbc/connections/spi/DataSourceBasedMultiTenantConnectionProviderImpl|,|java+interface:///org/hibernate/service/spi/Stoppable|>,|java+class:///org/hibernate/service/jdbc/connections/internal/C3P0ConnectionProvider|>,
  <<|java+class:///org/hibernate/testing/jta/JtaAwareConnectionProviderImpl|,|java+interface:///org/hibernate/service/spi/Stoppable|>,|java+class:///org/hibernate/service/jdbc/connections/internal/C3P0ConnectionProvider|>,
  <<|java+class:///org/hibernate/loader/collection/BatchingCollectionInitializer|,|java+interface:///org/hibernate/loader/collection/CollectionInitializer|>,|java+class:///org/hibernate/persister/collection/NamedQueryCollectionInitializer|>,
  <<|java+class:///org/hibernate/dialect/function/TrimFunctionTemplate|,|java+interface:///org/hibernate/dialect/function/SQLFunction|>,|java+class:///org/hibernate/dialect/function/SQLFunctionTemplate|>,
