{
  <<|java+class:///org/apache/xpath/functions/FuncId|,|java+class:///org/apache/xpath/Expression|>,<|project://xalan-2.7.1/src/org/apache/xpath/functions/FuncId.java|(3628,66,<114,6>,<114,72>),|java+method:///org/apache/xpath/Expression/error(org.apache.xpath.XPathContext,java.lang.String,java.lang.Object%5B%5D)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/AttributeValue|,|java+class:///org/apache/xalan/xsltc/compiler/Expression|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/compiler/LiteralAttribute.java|(3019,37,<84,1>,<84,38>),|java+method:///org/apache/xalan/xsltc/compiler/Expression/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xpath/axes/DescendantIterator|,|java+class:///org/apache/xpath/axes/LocPathIterator|>,<|project://xalan-2.7.1/src/org/apache/xpath/axes/WalkerFactory.java|(9272,49,<256,13>,<256,62>),|java+class:///org/apache/xpath/axes/DescendantIterator|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/AdaptiveResultTreeImpl.java|(32236,38,<1183,12>,<1183,50>),|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM/dispatchToEvents(int,org.xml.sax.ContentHandler)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/ProcessingInstruction|,|java+class:///org/apache/xalan/xsltc/compiler/SyntaxTreeNode|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/compiler/ProcessingInstruction.java|(2775,21,<69,1>,<69,22>),|java+method:///org/apache/xalan/xsltc/compiler/SyntaxTreeNode/parseChildren(org.apache.xalan.xsltc.compiler.Parser)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/UnresolvedRef|,|java+class:///org/apache/xalan/xsltc/compiler/VariableRefBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/compiler/UnresolvedRef.java|(2296,21,<68,8>,<68,29>),|java+method:///org/apache/xalan/xsltc/compiler/VariableRefBase/addParentDependency()|>>,
  <<|java+class:///org/apache/xalan/templates/ElemTemplate|,|java+class:///org/apache/xalan/templates/ElemTemplateElement|>,<|project://xalan-2.7.1/src/org/apache/xalan/templates/StylesheetRoot.java|(34634,42,<1083,4>,<1083,46>),|java+method:///org/apache/xalan/templates/ElemTemplateElement/appendChild(org.apache.xalan.templates.ElemTemplateElement)|>>,
  <<|java+class:///org/apache/xpath/axes/FilterExprIteratorSimple|,|java+class:///org/apache/xpath/axes/LocPathIterator|>,<|project://xalan-2.7.1/src/org/apache/xalan/templates/RedundentExprEliminator.java|(16256,33,<473,37>,<473,70>),|java+class:///org/apache/xpath/axes/FilterExprIteratorSimple|>>,
  <<|java+class:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2|,|java+class:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM|>,<|project://xalan-2.7.1/src/org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2.java|(66203,22,<2345,6>,<2345,28>),|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM/addNewDTMID(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/Pattern|,|java+class:///org/apache/xalan/xsltc/compiler/SyntaxTreeNode|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/compiler/TestSeq.java|(4119,48,<133,7>,<133,55>),|java+method:///org/apache/xalan/xsltc/compiler/SyntaxTreeNode/getTemplate()|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/VariableBase|,|java+class:///org/apache/xalan/xsltc/compiler/SyntaxTreeNode|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/compiler/VariableBase.java|(8588,38,<262,5>,<262,43>),|java+method:///org/apache/xalan/xsltc/compiler/SyntaxTreeNode/compileResultTree(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xpath/axes/LocPathIterator|,|java+class:///org/apache/xpath/axes/PredicatedNodeTest|>,<|project://xalan-2.7.1/src/org/apache/xpath/axes/LocPathIterator.java|(2588,24,<72,4>,<72,28>),|java+method:///org/apache/xpath/axes/PredicatedNodeTest/setLocPathIterator(org.apache.xpath.axes.LocPathIterator)|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/AdaptiveResultTreeImpl.java|(32489,24,<1193,19>,<1193,43>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getNode(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/PositionCall|,|java+class:///org/apache/xalan/xsltc/compiler/FunctionCall|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/compiler/Predicate.java|(10272,35,<329,11>,<329,46>),|java+method:///org/apache/xalan/xsltc/compiler/FunctionCall/setParser(org.apache.xalan.xsltc.compiler.Parser)|>>,
