[
  <<|java+class:///org/apache/xml/dtm/ref/DTMDefaultBaseTraversers|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,|project://xalan-2.7.1/src/org/apache/xml/dtm/ref/DTMDefaultBaseTraversers.java|(2523,89,<62,4>,<63,22>)>,
  <<|java+class:///org/apache/xml/dtm/ref/DTMDefaultBaseTraversers|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,|project://xalan-2.7.1/src/org/apache/xml/dtm/ref/DTMDefaultBaseTraversers.java|(3896,126,<90,4>,<91,59>)>,
  <<|java+class:///org/apache/xpath/objects/XNodeSetForDOM|,|java+class:///org/apache/xpath/objects/XNodeSet|>,|project://xalan-2.7.1/src/org/apache/xpath/objects/XNodeSetForDOM.java|(1836,11,<56,3>,<56,14>)>,
  <<|java+class:///org/apache/xalan/xsltc/cmdline/getopt/GetOptsException|,|java+class:///java/lang/Exception|>,|project://xalan-2.7.1/src/org/apache/xalan/xsltc/cmdline/getopt/GetOptsException.java|(1146,11,<30,1>,<30,12>)>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl/NamespaceAttributeIterator|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBaseIterators/InternalAxisIteratorBase|>,|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(48504,8,<1471,12>,<1471,20>)>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/NotCall|,|java+class:///org/apache/xalan/xsltc/compiler/FunctionCall|>,|project://xalan-2.7.1/src/org/apache/xalan/xsltc/compiler/NotCall.java|(1396,24,<38,1>,<38,25>)>,
  <<|java+class:///org/apache/xpath/axes/OneStepIteratorForward|,|java+class:///org/apache/xpath/axes/ChildTestIterator|>,|project://xalan-2.7.1/src/org/apache/xpath/axes/OneStepIteratorForward.java|(2109,33,<55,4>,<55,37>)>,
  <<|java+class:///org/apache/xpath/axes/OneStepIteratorForward|,|java+class:///org/apache/xpath/axes/ChildTestIterator|>,|project://xalan-2.7.1/src/org/apache/xpath/axes/OneStepIteratorForward.java|(2565,12,<71,4>,<71,16>)>,
  <<|java+class:///org/apache/xalan/extensions/ExtensionHandlerJavaClass|,|java+class:///org/apache/xalan/extensions/ExtensionHandlerJava|>,|project://xalan-2.7.1/src/org/apache/xalan/extensions/ExtensionHandlerJavaClass.java|(2933,43,<81,4>,<81,47>)>,
  <<|java+class:///org/apache/xml/utils/IntStack|,|java+class:///org/apache/xml/utils/IntVector|>,|project://xalan-2.7.1/src/org/apache/xml/utils/IntStack.java|(1653,17,<53,4>,<53,21>)>,
  <<|java+class:///org/apache/xml/utils/IntStack|,|java+class:///org/apache/xml/utils/IntVector|>,|project://xalan-2.7.1/src/org/apache/xml/utils/IntStack.java|(1467,8,<43,4>,<43,12>)>,
  <<|java+class:///org/apache/xml/utils/IntStack|,|java+class:///org/apache/xml/utils/IntVector|>,|project://xalan-2.7.1/src/org/apache/xml/utils/IntStack.java|(1810,9,<63,3>,<63,12>)>,
  <<|java+class:///org/apache/xpath/jaxp/JAXPVariableStack|,|java+class:///org/apache/xpath/VariableStack|>,|project://xalan-2.7.1/src/org/apache/xpath/jaxp/JAXPVariableStack.java|(1652,9,<45,8>,<45,17>)>,
  <<|java+class:///org/apache/xpath/axes/WalkingIterator|,|java+class:///org/apache/xpath/axes/LocPathIterator|>,|project://xalan-2.7.1/src/org/apache/xpath/axes/WalkingIterator.java|(2722,17,<78,4>,<78,21>)>,
  <<|java+class:///org/apache/xpath/axes/WalkingIterator|,|java+class:///org/apache/xpath/axes/LocPathIterator|>,|project://xalan-2.7.1/src/org/apache/xpath/axes/WalkingIterator.java|(2216,52,<58,4>,<58,56>)>,
  <<|java+class:///org/apache/xpath/NodeSetDTM|,|java+class:///org/apache/xml/utils/NodeVector|>,|project://xalan-2.7.1/src/org/apache/xpath/NodeSetDTM.java|(3678,8,<111,4>,<111,12>)>,
  <<|java+class:///org/apache/xpath/NodeSetDTM|,|java+class:///org/apache/xml/utils/NodeVector|>,|project://xalan-2.7.1/src/org/apache/xpath/NodeSetDTM.java|(3084,17,<83,4>,<83,21>)>,
  <<|java+class:///org/apache/xpath/NodeSetDTM|,|java+class:///org/apache/xml/utils/NodeVector|>,|project://xalan-2.7.1/src/org/apache/xpath/NodeSetDTM.java|(5417,8,<186,4>,<186,12>)>,
  <<|java+class:///org/apache/xpath/NodeSetDTM|,|java+class:///org/apache/xml/utils/NodeVector|>,|project://xalan-2.7.1/src/org/apache/xpath/NodeSetDTM.java|(4048,8,<127,4>,<127,12>)>,
  <<|java+class:///org/apache/xpath/NodeSetDTM|,|java+class:///org/apache/xml/utils/NodeVector|>,|project://xalan-2.7.1/src/org/apache/xpath/NodeSetDTM.java|(4421,8,<143,4>,<143,12>)>,
  <<|java+class:///org/apache/xpath/NodeSetDTM|,|java+class:///org/apache/xml/utils/NodeVector|>,|project://xalan-2.7.1/src/org/apache/xpath/NodeSetDTM.java|(4838,8,<163,4>,<163,12>)>,
  <<|java+class:///org/apache/xpath/NodeSetDTM|,|java+class:///org/apache/xml/utils/NodeVector|>,|project://xalan-2.7.1/src/org/apache/xpath/NodeSetDTM.java|(2791,8,<71,4>,<71,12>)>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/NameBase|,|java+class:///org/apache/xalan/xsltc/compiler/FunctionCall|>,|project://xalan-2.7.1/src/org/apache/xalan/xsltc/compiler/NameBase.java|(1855,24,<54,1>,<54,25>)>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/NameBase|,|java+class:///org/apache/xalan/xsltc/compiler/FunctionCall|>,|project://xalan-2.7.1/src/org/apache/xalan/xsltc/compiler/NameBase.java|(1690,13,<47,1>,<47,14>)>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/ContainsCall|,|java+class:///org/apache/xalan/xsltc/compiler/FunctionCall|>,|project://xalan-2.7.1/src/org/apache/xalan/xsltc/compiler/ContainsCall.java|(1819,24,<50,1>,<50,25>)>,
