[
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/setXMLContext(org.exolab.castor.xml.XMLContext)|,|java+method:///org/castor/xmlctf/SchemaTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_test|,|java+method:///org/castor/xmlctf/SchemaTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/SchemaTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_outputRootFile|,|java+method:///org/castor/xmlctf/SchemaTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/getXMLContext()|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_test|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_unitTest|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_printStack|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_outputRootFile|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_rootClass|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_rootClassName|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_name|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_mapping|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_name|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/tearDown()|>>,
