[
  <<|java+class:///org/jgroups/blocks/UnicastRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/UnicastRequest.java|(5289,17,<167,12>,<167,29>),|java+method:///org/jgroups/blocks/Request/waitForResults(long)|,|java+method:///org/jgroups/blocks/UnicastRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/UnicastRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/UnicastRequest.java|(5602,38,<179,15>,<179,53>),|java+method:///org/jgroups/blocks/Request/waitForResults(long)|,|java+method:///org/jgroups/blocks/UnicastRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/tests/junit-functional/org/jgroups/blocks/GroupRequestTest.java|(3231,13,<101,19>,<101,32>),|java+method:///org/jgroups/blocks/Request/execute()|,|java+method:///org/jgroups/blocks/GroupRequest/sendRequest()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/tests/junit-functional/org/jgroups/blocks/GroupRequestTest.java|(4705,13,<136,19>,<136,32>),|java+method:///org/jgroups/blocks/Request/execute()|,|java+method:///org/jgroups/blocks/GroupRequest/sendRequest()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/tests/junit-functional/org/jgroups/blocks/GroupRequestTest.java|(6475,13,<180,21>,<180,34>),|java+method:///org/jgroups/blocks/Request/execute()|,|java+method:///org/jgroups/blocks/GroupRequest/sendRequest()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/tests/junit-functional/org/jgroups/blocks/GroupRequestTest.java|(7131,13,<195,19>,<195,32>),|java+method:///org/jgroups/blocks/Request/execute()|,|java+method:///org/jgroups/blocks/GroupRequest/sendRequest()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/tests/junit-functional/org/jgroups/blocks/GroupRequestTest.java|(7769,13,<208,19>,<208,32>),|java+method:///org/jgroups/blocks/Request/execute()|,|java+method:///org/jgroups/blocks/GroupRequest/sendRequest()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/tests/junit-functional/org/jgroups/blocks/GroupRequestTest.java|(8689,13,<228,19>,<228,32>),|java+method:///org/jgroups/blocks/Request/execute()|,|java+method:///org/jgroups/blocks/GroupRequest/sendRequest()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/tests/junit-functional/org/jgroups/blocks/GroupRequestTest.java|(9571,13,<247,19>,<247,32>),|java+method:///org/jgroups/blocks/Request/execute()|,|java+method:///org/jgroups/blocks/GroupRequest/sendRequest()|>>,
  <<|java+class:///org/jgroups/blocks/RpcDispatcher|,|java+class:///org/jgroups/blocks/MessageDispatcher|>,<|project://JGroups/tests/junit/org/jgroups/blocks/RpcDispatcherTest.java|(3648,10,<99,12>,<99,22>),|java+method:///org/jgroups/blocks/MessageDispatcher/start()|,|java+method:///org/jgroups/blocks/RpcDispatcher/correlatorStarted()|>>,
  <<|java+class:///org/jgroups/blocks/RpcDispatcher|,|java+class:///org/jgroups/blocks/MessageDispatcher|>,<|project://JGroups/tests/junit/org/jgroups/blocks/RpcDispatcherTest.java|(3672,10,<100,12>,<100,22>),|java+method:///org/jgroups/blocks/MessageDispatcher/start()|,|java+method:///org/jgroups/blocks/RpcDispatcher/correlatorStarted()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO/Connection|,|java+class:///org/jgroups/blocks/BasicConnectionTable/Connection|>,<|project://JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java|(9910,14,<283,15>,<283,29>),|java+method:///org/jgroups/blocks/BasicConnectionTable/Connection/destroy()|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/Connection/closeSocket()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO/Connection|,|java+class:///org/jgroups/blocks/BasicConnectionTable/Connection|>,<|project://JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java|(14876,14,<424,14>,<424,28>),|java+method:///org/jgroups/blocks/BasicConnectionTable/Connection/destroy()|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/Connection/closeSocket()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO/Connection|,|java+class:///org/jgroups/blocks/BasicConnectionTable/Connection|>,<|project://JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java|(18955,13,<514,35>,<514,48>),|java+method:///org/jgroups/blocks/BasicConnectionTable/Connection/destroy()|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/Connection/closeSocket()|>>,
