[
  <<|java+class:///org/jruby/ast/GlobalVarNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ast/AttrAssignNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ast/MethodDefNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ir/instructions/EQQInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ir/instructions/MatchInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/nkf/NKFLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+interface:///org/jruby/javasupport/proxy/JavaProxyMethod|,|java+interface:///org/jruby/javasupport/ParameterTypes|>,|java+class:///org/jruby/javasupport/JavaCallable|>,
  <<|java+class:///org/jruby/ext/fcntl/FcntlLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ast/OptArgNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ext/mathn/Rational|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/ffi/jffi/DefaultMethodFactory/NonSessionMarshaller|,|java+interface:///org/jruby/ext/ffi/jffi/ParameterMarshaller|>,|java+class:///org/jruby/ext/ffi/jffi/DefaultMethodFactory/ConvertingMarshaller|>,
  <<|java+class:///org/jruby/ast/DVarNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ir/instructions/CopyInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/javasupport/Java|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/management/BeanManagerImpl|,|java+interface:///org/jruby/management/BeanManager|>,|java+class:///org/jruby/management/BeanManagerFactory/DummyBeanManager|>,
  <<|java+class:///org/jruby/ir/instructions/ReceiveArgBase|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/util/log/JavaUtilLoggingLogger|,|java+interface:///org/jruby/util/log/Logger|>,|java+class:///org/jruby/util/log/StandardErrorLogger|>,
  <<|java+class:///org/jruby/ir/instructions/EnsureRubyArrayInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ir/instructions/defined/DefinedInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ir/instructions/InheritanceSearchConstInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/jruby/JRubyLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/etc/EtcLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ast/SymbolNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+interface:///org/jruby/embed/EmbedRubyRuntimeAdapter|,|java+interface:///org/jruby/RubyRuntimeAdapter|>,|java+anonymousClass:///org/jruby/javasupport/JavaEmbedUtils/newRuntimeAdapter()/$anonymous1|>,
  <<|java+class:///org/jruby/ir/instructions/DefineClassInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/mathn/Complex|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
