[
  <<|java+class:///org/apache/maven/plugin/PluginParameterExpressionEvaluatorTest|,|java+class:///org/apache/maven/AbstractCoreMavenComponentTestCase|>,220,<|java+method:///org/apache/maven/AbstractCoreMavenComponentTestCase/setUp()|,|java+method:///org/apache/maven/plugin/PluginParameterExpressionEvaluatorTest/setUp()|>>,
  <<|java+class:///org/apache/maven/repository/internal/RemoteSnapshotMetadata|,|java+class:///org/apache/maven/repository/internal/MavenMetadata|>,220,<|java+field:///org/apache/maven/repository/internal/MavenMetadata/metadata|,|java+method:///org/apache/maven/repository/internal/RemoteSnapshotMetadata/getVersion()|>>,
  <<|java+class:///org/apache/maven/repository/internal/RemoteSnapshotMetadata|,|java+class:///org/apache/maven/repository/internal/MavenMetadata|>,220,<|java+field:///org/apache/maven/repository/internal/MavenMetadata/metadata|,|java+method:///org/apache/maven/repository/internal/RemoteSnapshotMetadata/getGroupId()|>>,
  <<|java+class:///org/apache/maven/repository/internal/RemoteSnapshotMetadata|,|java+class:///org/apache/maven/repository/internal/MavenMetadata|>,220,<|java+field:///org/apache/maven/repository/internal/MavenMetadata/metadata|,|java+method:///org/apache/maven/repository/internal/RemoteSnapshotMetadata/getArtifactId()|>>,
  <<|java+class:///org/apache/maven/repository/internal/RemoteSnapshotMetadata|,|java+class:///org/apache/maven/repository/internal/MavenMetadata|>,220,<|java+field:///org/apache/maven/repository/internal/MavenMetadata/metadata|,|java+method:///org/apache/maven/repository/internal/RemoteSnapshotMetadata/setFile(java.io.File)|>>,
  <<|java+class:///org/apache/maven/repository/internal/RemoteSnapshotMetadata|,|java+class:///org/apache/maven/repository/internal/MavenMetadata|>,220,<|java+field:///org/apache/maven/repository/internal/MavenMetadata/metadata|,|java+method:///org/apache/maven/repository/internal/RemoteSnapshotMetadata/merge(org.apache.maven.artifact.repository.metadata.Metadata)|>>,
  <<|java+class:///org/apache/maven/project/artifact/AttachedArtifact|,|java+class:///org/apache/maven/artifact/DefaultArtifact|>,220,<|java+method:///org/apache/maven/artifact/DefaultArtifact/getId()|,|java+constructor:///org/apache/maven/project/artifact/AttachedArtifact/AttachedArtifact(org.apache.maven.artifact.Artifact,java.lang.String,java.lang.String,org.apache.maven.artifact.handler.ArtifactHandler)|>>,
  <<|java+class:///org/apache/maven/project/artifact/AttachedArtifact|,|java+class:///org/apache/maven/artifact/DefaultArtifact|>,220,<|java+method:///org/apache/maven/artifact/DefaultArtifact/setDependencyTrail(java.util.List)|,|java+constructor:///org/apache/maven/project/artifact/AttachedArtifact/AttachedArtifact(org.apache.maven.artifact.Artifact,java.lang.String,java.lang.String,org.apache.maven.artifact.handler.ArtifactHandler)|>>,
  <<|java+class:///org/apache/maven/MavenTest|,|java+class:///org/apache/maven/AbstractCoreMavenComponentTestCase|>,220,<|java+method:///org/apache/maven/AbstractCoreMavenComponentTestCase/setUp()|,|java+method:///org/apache/maven/MavenTest/setUp()|>>,
  <<|java+class:///org/apache/maven/MavenTest|,|java+class:///org/apache/maven/AbstractCoreMavenComponentTestCase|>,220,<|java+method:///org/apache/maven/AbstractCoreMavenComponentTestCase/tearDown()|,|java+method:///org/apache/maven/MavenTest/tearDown()|>>,
