[
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo/getInterfaceDescriptorList()|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/findField(java.lang.String,java.lang.String,boolean)|>>,
  <<|java+class:///edu/umd/cs/findbugs/ml/ConvertToARFF/BooleanAttribute|,|java+class:///edu/umd/cs/findbugs/ml/ConvertToARFF/XPathAttribute|>,220,<|java+method:///edu/umd/cs/findbugs/ml/ConvertToARFF/XPathAttribute/getInstanceValue(org.dom4j.Element,java.lang.String)|,|java+method:///edu/umd/cs/findbugs/ml/ConvertToARFF/BooleanAttribute/getInstanceValue(org.dom4j.Element,java.lang.String)|>>,
  <<|java+class:///edu/umd/cs/findbugs/PackageWarningSuppressor|,|java+class:///edu/umd/cs/findbugs/WarningSuppressor|>,220,<|java+field:///edu/umd/cs/findbugs/WarningSuppressor/DEBUG|,|java+method:///edu/umd/cs/findbugs/PackageWarningSuppressor/match(edu.umd.cs.findbugs.BugInstance)|>>,
  <<|java+class:///edu/umd/cs/findbugs/PackageWarningSuppressor|,|java+class:///edu/umd/cs/findbugs/WarningSuppressor|>,220,<|java+method:///edu/umd/cs/findbugs/WarningSuppressor/match(edu.umd.cs.findbugs.BugInstance)|,|java+method:///edu/umd/cs/findbugs/PackageWarningSuppressor/match(edu.umd.cs.findbugs.BugInstance)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Noise|,|java+class:///edu/umd/cs/findbugs/visitclass/DismantleBytecode|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/DismantleBytecode/visit(org.apache.bcel.classfile.Code)|,|java+method:///edu/umd/cs/findbugs/detect/Noise/visit(org.apache.bcel.classfile.Code)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Noise|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/getFullyQualifiedMethodName()|,|java+method:///edu/umd/cs/findbugs/detect/Noise/visit(org.apache.bcel.classfile.Code)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Noise|,|java+class:///edu/umd/cs/findbugs/visitclass/DismantleBytecode|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/DismantleBytecode/getNameConstantOperand()|,|java+method:///edu/umd/cs/findbugs/detect/Noise/sawOpcode(int)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Noise|,|java+class:///edu/umd/cs/findbugs/visitclass/DismantleBytecode|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/DismantleBytecode/getClassConstantOperand()|,|java+method:///edu/umd/cs/findbugs/detect/Noise/sawOpcode(int)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Noise|,|java+class:///edu/umd/cs/findbugs/visitclass/DismantleBytecode|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/DismantleBytecode/getSigConstantOperand()|,|java+method:///edu/umd/cs/findbugs/detect/Noise/sawOpcode(int)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Noise|,|java+class:///edu/umd/cs/findbugs/visitclass/DismantleBytecode|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/DismantleBytecode/getClassConstantOperand()|,|java+method:///edu/umd/cs/findbugs/detect/Noise/sawClass()|>>,
