[
  <<|java+class:///org/exolab/javasource/JClass|,|java+class:///org/exolab/javasource/AbstractJClass|>,211,|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/printing/TemplateJClassPrinter.java|(2871,16,<83,39>,<83,55>),|java+method:///org/exolab/javasource/JType/getName()|>,
  <<|java+class:///org/exolab/javasource/AbstractJClass|,|java+class:///org/exolab/javasource/JStructure|>,211,|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/printing/TemplateJClassPrinter.java|(2871,16,<83,39>,<83,55>),|java+method:///org/exolab/javasource/JType/getName()|>,
  <<|java+class:///org/exolab/javasource/JStructure|,|java+class:///org/exolab/javasource/JType|>,211,|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/printing/TemplateJClassPrinter.java|(2871,16,<83,39>,<83,55>),|java+method:///org/exolab/javasource/JType/getName()|>,
  <<|java+class:///org/exolab/javasource/JClass|,|java+class:///org/exolab/javasource/AbstractJClass|>,211,|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/printing/TemplateJClassPrinter.java|(3406,29,<97,40>,<97,69>),|java+method:///org/exolab/javasource/JStructure/getFilename(java.lang.String)|>,
  <<|java+class:///org/exolab/javasource/AbstractJClass|,|java+class:///org/exolab/javasource/JStructure|>,211,|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/printing/TemplateJClassPrinter.java|(3406,29,<97,40>,<97,69>),|java+method:///org/exolab/javasource/JStructure/getFilename(java.lang.String)|>,
  <<|java+class:///org/exolab/castor/builder/SGStateInfo|,|java+class:///org/exolab/castor/builder/util/ClassInfoResolverImpl|>,210,|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/conflictresolution/WarningViaDialogClassNameCRStrategy.java|(3000,23,<76,37>,<76,60>),|java+method:///org/exolab/castor/builder/util/ClassInfoResolverImpl/resolve(java.lang.Object)|>,
  <<|java+class:///org/exolab/castor/builder/SGStateInfo|,|java+class:///org/exolab/castor/builder/util/ClassInfoResolverImpl|>,210,|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/conflictresolution/WarningViaDialogClassNameCRStrategy.java|(3370,12,<86,38>,<86,50>),|java+method:///org/exolab/castor/builder/util/ClassInfoResolverImpl/keys()|>,
  <<|java+class:///org/exolab/castor/builder/SGStateInfo|,|java+class:///org/exolab/castor/builder/util/ClassInfoResolverImpl|>,210,|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/conflictresolution/WarningViaDialogClassNameCRStrategy.java|(3656,18,<93,34>,<93,52>),|java+method:///org/exolab/castor/builder/util/ClassInfoResolverImpl/resolve(java.lang.Object)|>,
  <<|java+class:///org/exolab/javasource/JAnnotationType|,|java+class:///org/exolab/javasource/JStructure|>,211,|project://castor-1.3.3_codegen/src/main/java/org/exolab/javasource/JStructure.java|(9677,40,<271,18>,<271,58>),|java+method:///org/exolab/javasource/JType/getName()|>,
  <<|java+class:///org/exolab/javasource/JStructure|,|java+class:///org/exolab/javasource/JType|>,211,|project://castor-1.3.3_codegen/src/main/java/org/exolab/javasource/JStructure.java|(9677,40,<271,18>,<271,58>),|java+method:///org/exolab/javasource/JType/getName()|>,
  <<|java+class:///org/exolab/javasource/JAnnotationType|,|java+class:///org/exolab/javasource/JStructure|>,211,|project://castor-1.3.3_codegen/src/main/java/org/exolab/javasource/JStructure.java|(10149,44,<283,22>,<283,66>),|java+method:///org/exolab/javasource/JType/getName()|>,
  <<|java+class:///org/exolab/javasource/JStructure|,|java+class:///org/exolab/javasource/JType|>,211,|project://castor-1.3.3_codegen/src/main/java/org/exolab/javasource/JStructure.java|(10149,44,<283,22>,<283,66>),|java+method:///org/exolab/javasource/JType/getName()|>,
  <<|java+class:///org/exolab/castor/builder/ExtendedSourceGenerator|,|java+class:///org/exolab/castor/builder/SourceGenerator|>,210,|project://castor-1.3.3_codegen/src/test/java/org/exolab/castor/builder/appInfo/AppInfoProcessingTest.java|(1788,66,<50,8>,<50,74>),|java+method:///org/exolab/castor/builder/SourceGenerator/setDestDir(java.lang.String)|>,
  <<|java+class:///org/exolab/castor/builder/ExtendedSourceGenerator|,|java+class:///org/exolab/castor/builder/SourceGenerator|>,210,|project://castor-1.3.3_codegen/src/test/java/org/exolab/castor/builder/appInfo/AppInfoProcessingTest.java|(1865,44,<51,8>,<51,52>),|java+method:///org/exolab/castor/builder/SourceGenerator/setSuppressNonFatalWarnings(boolean)|>,
  <<|java+class:///org/exolab/castor/builder/ExtendedSourceGenerator|,|java+class:///org/exolab/castor/builder/SourceGenerator|>,210,|project://castor-1.3.3_codegen/src/test/java/org/exolab/castor/builder/appInfo/AppInfoProcessingTest.java|(3225,130,<83,8>,<85,38>),|java+method:///org/exolab/castor/builder/SourceGenerator/generateSource(org.xml.sax.InputSource,java.lang.String)|>,
  <<|java+class:///org/exolab/castor/builder/SGStateInfo|,|java+class:///org/exolab/castor/builder/util/ClassInfoResolverImpl|>,210,|project://castor-1.3.3_codegen/src/test/java/org/exolab/castor/builder/appInfo/AppInfoProcessingTest.java|(3741,14,<97,34>,<97,48>),|java+method:///org/exolab/castor/builder/util/ClassInfoResolverImpl/keys()|>,
  <<|java+class:///org/exolab/castor/builder/SGStateInfo|,|java+class:///org/exolab/castor/builder/util/ClassInfoResolverImpl|>,210,|project://castor-1.3.3_codegen/src/test/java/org/exolab/castor/builder/appInfo/AppInfoProcessingTest.java|(4479,21,<114,27>,<114,48>),|java+method:///org/exolab/castor/builder/util/ClassInfoResolverImpl/resolve(java.lang.Object)|>,
  <<|java+class:///org/exolab/castor/builder/ExtendedSourceGenerator|,|java+class:///org/exolab/castor/builder/SourceGenerator|>,210,|project://castor-1.3.3_codegen/src/test/java/org/exolab/castor/builder/appInfo/AppInfoProcessingTest.java|(6874,130,<190,8>,<192,38>),|java+method:///org/exolab/castor/builder/SourceGenerator/generateSource(org.xml.sax.InputSource,java.lang.String)|>,
  <<|java+class:///org/exolab/castor/builder/SGStateInfo|,|java+class:///org/exolab/castor/builder/util/ClassInfoResolverImpl|>,210,|project://castor-1.3.3_codegen/src/test/java/org/exolab/castor/builder/appInfo/AppInfoProcessingTest.java|(7395,14,<204,34>,<204,48>),|java+method:///org/exolab/castor/builder/util/ClassInfoResolverImpl/keys()|>,
