[
  <<|java+class:///org/exolab/castor/builder/types/XSDouble|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(11147,30,<240,20>,<240,50>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractRangeFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSDuration|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(11436,32,<246,20>,<246,52>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractRangeFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSDecimal|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(11725,31,<252,20>,<252,51>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSFloat|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(12014,29,<258,20>,<258,49>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractRangeFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSGDay|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(12284,28,<264,20>,<264,48>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractRangeFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSGMonthDay|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(12572,33,<270,20>,<270,53>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractRangeFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSGMonth|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(12858,30,<276,20>,<276,50>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractRangeFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSGYearMonth|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(13154,34,<282,20>,<282,54>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractRangeFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSGYear|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(13438,29,<288,20>,<288,49>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractRangeFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSInteger|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(13731,31,<294,20>,<294,51>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
