[
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Introspector.java|(25682,48,<650,16>,<650,64>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setClassDescriptor(org.exolab.castor.mapping.ClassDescriptor)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Introspector.java|(25749,30,<651,16>,<651,46>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Introspector.java|(31273,30,<787,20>,<787,50>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Introspector.java|(31453,29,<791,16>,<791,45>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Introspector.java|(32274,22,<812,39>,<812,61>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/getHandler()|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Introspector.java|(32315,28,<813,16>,<813,44>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setImmutable(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Introspector.java|(32494,24,<817,29>,<817,53>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/getFieldType()|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Introspector.java|(32669,25,<821,16>,<821,41>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/ValidationException|,|java+class:///org/exolab/castor/xml/XMLException|>,211,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/types/RecurringDuration.java|(25266,19,<692,16>,<692,35>),|java+method:///java/lang/Throwable/printStackTrace()|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(1918,23,<75,8>,<75,31>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setImmutable(boolean)|>,
