[
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3072,45,<74,8>,<74,53>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3128,41,<75,8>,<75,49>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/OptionalPrecisionDecimalsType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3180,71,<76,8>,<76,79>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/OptionalPrecisionDecimalsType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3262,71,<77,8>,<77,79>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/OptionalLengthType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3374,54,<80,8>,<80,62>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/RequiredLengthType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3439,60,<81,8>,<81,68>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3510,56,<82,8>,<82,64>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3619,41,<85,8>,<85,49>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3671,41,<86,8>,<86,49>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3723,51,<87,8>,<87,59>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/OptionalLengthType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3819,73,<90,8>,<90,81>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/RequiredLengthType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3903,79,<91,8>,<91,87>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3993,71,<92,8>,<92,79>)>,
