{
  <<|java+class:///org/springframework/core/type/classreading/CachingMetadataReaderFactory|,|java+class:///org/springframework/core/type/classreading/SimpleMetadataReaderFactory|>,2,|java+interface:///org/springframework/core/type/classreading/MetadataReaderFactory|>,
  <<|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,
  <<|java+class:///org/springframework/core/type/classreading/AnnotationMetadataReadingVisitor|,|java+interface:///org/springframework/core/type/AnnotationMetadata|>,2,|java+interface:///org/springframework/core/type/ClassMetadata|>,
  <<|java+class:///org/springframework/core/io/FileSystemResource|,|java+class:///org/springframework/core/io/AbstractResource|>,2,|java+interface:///org/springframework/core/io/Resource|>,
  <<|java+class:///org/springframework/core/enums/LabeledEnumTests/ValuedEnum|,|java+class:///org/springframework/core/enums/StaticLabeledEnum|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/springframework/core/enums/LabeledEnumTests/Dog|,|java+class:///org/springframework/core/enums/StaticLabeledEnum|>,2,|java+interface:///org/springframework/core/enums/LabeledEnum|>,
  <<|java+class:///org/springframework/core/convert/support/ObjectToArrayConverter|,|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,
  <<|java+class:///org/springframework/core/convert/support/CollectionToCollectionConverter|,|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,
  <<|java+class:///org/springframework/beans/DerivedTestBean|,|java+class:///org/springframework/beans/TestBean|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/springframework/core/io/DescriptiveResource|,|java+class:///org/springframework/core/io/AbstractResource|>,2,|java+interface:///org/springframework/core/io/Resource|>,
  <<|java+class:///org/springframework/util/xml/StaxEventContentHandler|,|java+class:///org/springframework/util/xml/AbstractStaxContentHandler|>,2,|java+interface:///org/xml/sax/ContentHandler|>,
  <<|java+class:///org/springframework/core/io/UrlResource|,|java+class:///org/springframework/core/io/AbstractFileResolvingResource|>,2,|java+interface:///org/springframework/core/io/Resource|>,
  <<|java+class:///org/springframework/util/ReflectionUtilsTests/TestBeanSubclassWithNewField|,|java+class:///org/springframework/beans/TestBean|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/springframework/util/xml/AbstractStaxXMLReader|,|java+class:///org/springframework/util/xml/AbstractXMLReader|>,2,|java+interface:///org/xml/sax/XMLReader|>,
  <<|java+class:///org/springframework/core/io/DefaultResourceLoader/ClassPathContextResource|,|java+interface:///org/springframework/core/io/ContextResource|>,2,|java+interface:///org/springframework/core/io/Resource|>,
  <<|java+class:///org/springframework/core/io/UrlResource|,|java+class:///org/springframework/core/io/AbstractFileResolvingResource|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/springframework/util/xml/AbstractXMLStreamReader|,|java+interface:///javax/xml/stream/XMLStreamReader|>,2,|java+interface:///javax/xml/stream/XMLStreamReader|>,
  <<|java+class:///org/springframework/util/xml/XMLEventStreamReader|,|java+class:///org/springframework/util/xml/AbstractXMLStreamReader|>,2,|java+interface:///javax/xml/stream/XMLStreamReader|>,
  <<|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/springframework/core/io/DescriptiveResource|,|java+class:///org/springframework/core/io/AbstractResource|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/springframework/core/io/FileSystemResourceLoader/FileSystemContextResource|,|java+interface:///org/springframework/core/io/ContextResource|>,2,|java+interface:///org/springframework/core/io/Resource|>,
  <<|java+class:///org/springframework/core/enums/StaticLabeledEnum|,|java+class:///org/springframework/core/enums/AbstractLabeledEnum|>,2,|java+interface:///org/springframework/core/enums/LabeledEnum|>,
  <<|java+class:///org/springframework/core/io/FileSystemResource|,|java+class:///org/springframework/core/io/AbstractResource|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/springframework/util/xml/StaxResult|,|java+class:///javax/xml/transform/sax/SAXResult|>,2,|java+interface:///javax/xml/transform/Result|>,
  <<|java+class:///org/springframework/util/xml/StaxStreamXMLReader|,|java+class:///org/springframework/util/xml/AbstractStaxXMLReader|>,2,|java+interface:///org/xml/sax/XMLReader|>,
  <<|java+class:///org/springframework/core/NestedRuntimeException|,|java+class:///java/lang/RuntimeException|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/springframework/core/io/support/ResourceArrayPropertyEditor|,|java+class:///java/beans/PropertyEditorSupport|>,2,|java+interface:///java/beans/PropertyEditor|>,
  <<|java+class:///org/springframework/core/io/ByteArrayResource|,|java+class:///org/springframework/core/io/AbstractResource|>,2,|java+class:///java/lang/Object|>,
