[
  <<|java+class:///weka/classifiers/mi/MIDD/OptEng|,|java+class:///weka/core/Optimization|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/mi/MIDD.java|(16274,22,<550,16>,<550,38>),|java+method:///weka/core/Optimization/findArgmin(double%5B%5D,double%5B%5D%5B%5D)|,|java+project:///|>>,
  <<|java+class:///weka/core/converters/CSVSaver|,|java+class:///weka/core/converters/AbstractFileSaver|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/core/converters/CSVSaver.java|(4374,8,<154,10>,<154,18>),|java+method:///weka/core/converters/AbstractFileSaver/cancel()|,|java+method:///weka/core/converters/CSVSaver/resetOptions()|>>,
  <<|java+class:///weka/core/converters/CSVLoader|,|java+class:///weka/core/converters/AbstractFileLoader|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/core/neighboursearch/CoverTree.java|(67438,30,<1962,8>,<1962,38>),|java+method:///weka/core/converters/AbstractFileLoader/setFile(java.io.File)|,|java+method:///weka/core/converters/CSVLoader/setSource(java.io.File)|>>,
  <<|java+class:///weka/associations/tertius/Body|,|java+class:///weka/associations/tertius/LiteralSet|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/associations/tertius/Rule.java|(5767,32,<182,13>,<182,45>),|java+method:///weka/associations/tertius/LiteralSet/counterInstance(weka.core.Instance)|,|java+method:///weka/associations/tertius/Body/canKeep(weka.core.Instance,weka.associations.tertius.Literal)|>>,
  <<|java+class:///weka/associations/tertius/Head|,|java+class:///weka/associations/tertius/LiteralSet|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/associations/tertius/Rule.java|(5805,32,<183,4>,<183,36>),|java+method:///weka/associations/tertius/LiteralSet/counterInstance(weka.core.Instance)|,|java+method:///weka/associations/tertius/Head/canKeep(weka.core.Instance,weka.associations.tertius.Literal)|>>,
  <<|java+class:///weka/associations/tertius/Body|,|java+class:///weka/associations/tertius/LiteralSet|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/associations/tertius/Rule.java|(11122,32,<382,6>,<382,38>),|java+method:///weka/associations/tertius/LiteralSet/addElement(weka.associations.tertius.Literal)|,|java+method:///weka/associations/tertius/Body/canKeep(weka.core.Instance,weka.associations.tertius.Literal)|>>,
  <<|java+class:///weka/associations/tertius/Head|,|java+class:///weka/associations/tertius/LiteralSet|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/associations/tertius/Rule.java|(12151,32,<413,6>,<413,38>),|java+method:///weka/associations/tertius/LiteralSet/addElement(weka.associations.tertius.Literal)|,|java+method:///weka/associations/tertius/Head/canKeep(weka.core.Instance,weka.associations.tertius.Literal)|>>,
  <<|java+class:///weka/datagenerators/classifiers/classification/BayesNet|,|java+class:///weka/datagenerators/DataGenerator|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/datagenerators/classifiers/classification/BayesNet.java|(5472,35,<210,14>,<210,49>),|java+method:///weka/datagenerators/DataGenerator/removeBlacklist(java.lang.String%5B%5D)|,|java+method:///weka/datagenerators/ClassificationGenerator/listOptions()|>>,
  <<|java+class:///weka/core/converters/AbstractFileSaver|,|java+class:///weka/core/converters/AbstractSaver|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/gui/explorer/PreprocessPanel.java|(27152,24,<700,7>,<700,31>),|java+method:///weka/core/converters/AbstractSaver/setInstances(weka.core.Instances)|,|java+method:///weka/core/converters/AbstractFileSaver/cancel()|>>,
  <<|java+class:///weka/experiment/PairedCorrectedTTester|,|java+class:///weka/experiment/PairedTTester|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/experiment/PairedCorrectedTTester.java|(10346,36,<301,24>,<301,60>),|java+method:///weka/experiment/PairedTTester/multiResultsetFull(int,int)|,|java+method:///weka/experiment/PairedCorrectedTTester/calculateStatistics(weka.core.Instance,int,int,int)|>>,
  <<|java+class:///weka/experiment/PairedCorrectedTTester|,|java+class:///weka/experiment/PairedTTester|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/experiment/PairedCorrectedTTester.java|(10473,42,<305,22>,<305,64>),|java+method:///weka/experiment/PairedTTester/multiResultsetFull(int,int)|,|java+method:///weka/experiment/PairedCorrectedTTester/calculateStatistics(weka.core.Instance,int,int,int)|>>,
  <<|java+class:///weka/core/converters/C45Saver|,|java+class:///weka/core/converters/AbstractFileSaver|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/core/converters/C45Saver.java|(5223,8,<172,10>,<172,18>),|java+method:///weka/core/converters/AbstractFileSaver/cancel()|,|java+method:///weka/core/converters/C45Saver/resetOptions()|>>,
  <<|java+class:///weka/core/converters/C45Saver|,|java+class:///weka/core/converters/AbstractSaver|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/core/converters/C45Saver.java|(14557,18,<447,1>,<447,19>),|java+method:///weka/core/converters/AbstractSaver/setInstances(weka.core.Instances)|,|java+method:///weka/core/converters/AbstractFileSaver/cancel()|>>,
  <<|java+class:///weka/classifiers/trees/LADTree|,|java+class:///weka/classifiers/Classifier|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/trees/LADTree.java|(47448,22,<1429,6>,<1429,28>),|java+method:///weka/classifiers/Classifier/classifyInstance(weka.core.Instance)|,|java+method:///weka/classifiers/trees/LADTree/distributionForInstance(weka.core.Instance)|>>,
  <<|java+class:///weka/classifiers/trees/ft/FTLeavesNode|,|java+class:///weka/classifiers/trees/lmt/LogisticBase|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/trees/ft/FTLeavesNode.java|(4738,20,<139,14>,<139,34>),|java+method:///weka/classifiers/trees/lmt/LogisticBase/getFs(weka.core.Instances)|,|java+method:///weka/classifiers/trees/ft/FTtree/getFs(weka.core.Instance)|>>,
  <<|java+class:///weka/classifiers/functions/pace/NormalMixture|,|java+class:///weka/classifiers/functions/pace/MixtureDistribution|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/functions/pace/NormalMixture.java|(12107,21,<401,4>,<401,25>),|java+method:///weka/classifiers/functions/pace/MixtureDistribution/fit(weka.core.matrix.DoubleVector,int)|,|java+method:///weka/classifiers/functions/pace/NormalMixture/separable(weka.core.matrix.DoubleVector,int,int,double)|>>,
  <<|java+class:///weka/classifiers/mi/MILR/OptEng|,|java+class:///weka/core/Optimization|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/mi/MILR.java|(19634,20,<669,12>,<669,32>),|java+method:///weka/core/Optimization/findArgmin(double%5B%5D,double%5B%5D%5B%5D)|,|java+project:///|>>,
  <<|java+class:///weka/classifiers/mi/MILR/OptEng|,|java+class:///weka/core/Optimization|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/mi/MILR.java|(19816,24,<674,14>,<674,38>),|java+method:///weka/core/Optimization/findArgmin(double%5B%5D,double%5B%5D%5B%5D)|,|java+project:///|>>,
  <<|java+class:///weka/classifiers/trees/ft/FTInnerNode|,|java+class:///weka/classifiers/trees/lmt/LogisticBase|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/trees/ft/FTInnerNode.java|(4970,20,<146,14>,<146,34>),|java+method:///weka/classifiers/trees/lmt/LogisticBase/getFs(weka.core.Instances)|,|java+method:///weka/classifiers/trees/ft/FTtree/getFs(weka.core.Instance)|>>,
  <<|java+class:///weka/core/converters/ArffSaver|,|java+class:///weka/core/converters/AbstractFileSaver|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/core/converters/ArffSaver.java|(8062,8,<300,10>,<300,18>),|java+method:///weka/core/converters/AbstractFileSaver/cancel()|,|java+method:///weka/core/converters/ArffSaver/resetOptions()|>>,
  <<|java+class:///weka/datagenerators/classifiers/regression/MexicanHat|,|java+class:///weka/datagenerators/DataGenerator|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/datagenerators/classifiers/regression/MexicanHat.java|(7011,35,<251,14>,<251,49>),|java+method:///weka/datagenerators/DataGenerator/removeBlacklist(java.lang.String%5B%5D)|,|java+method:///weka/datagenerators/RegressionGenerator/listOptions()|>>,
  <<|java+class:///weka/classifiers/meta/FilteredClassifier|,|java+class:///weka/classifiers/Classifier|>,<|project://weka-3-6-9/weka-src/src/test/java/weka/filters/AbstractFilterTest.java|(19037,55,<599,1>,<599,56>),|java+method:///weka/classifiers/Classifier/classifyInstance(weka.core.Instance)|,|java+method:///weka/classifiers/meta/FilteredClassifier/distributionForInstance(weka.core.Instance)|>>,
  <<|java+class:///weka/classifiers/functions/pace/ChisqMixture|,|java+class:///weka/classifiers/functions/pace/MixtureDistribution|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/functions/pace/ChisqMixture.java|(13669,21,<469,4>,<469,25>),|java+method:///weka/classifiers/functions/pace/MixtureDistribution/fit(weka.core.matrix.DoubleVector,int)|,|java+method:///weka/classifiers/functions/pace/ChisqMixture/separable(weka.core.matrix.DoubleVector,int,int,double)|>>,
  <<|java+class:///weka/filters/unsupervised/attribute/Discretize|,|java+class:///weka/filters/Filter|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/filters/unsupervised/attribute/Discretize.java|(30367,62,<1065,4>,<1065,66>),|java+method:///weka/filters/Filter/copyValues(weka.core.Instance,boolean,weka.core.Instances,weka.core.Instances)|,|java+method:///weka/filters/unsupervised/attribute/PotentialClassIgnorer/getOutputFormat()|>>,
  <<|java+class:///weka/classifiers/meta/Decorate|,|java+class:///weka/classifiers/Classifier|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/meta/Decorate.java|(24417,22,<729,36>,<729,58>),|java+method:///weka/classifiers/Classifier/classifyInstance(weka.core.Instance)|,|java+method:///weka/classifiers/meta/Decorate/distributionForInstance(weka.core.Instance)|>>,
  <<|java+class:///weka/classifiers/mi/MIEMDD/OptEng|,|java+class:///weka/core/Optimization|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/mi/MIEMDD.java|(17721,20,<578,16>,<578,36>),|java+method:///weka/core/Optimization/findArgmin(double%5B%5D,double%5B%5D%5B%5D)|,|java+project:///|>>,
  <<|java+class:///weka/classifiers/mi/MIEMDD/OptEng|,|java+class:///weka/core/Optimization|>,<|project://weka-3-6-9/weka-src/src/main/java/weka/classifiers/mi/MIEMDD.java|(17931,22,<583,18>,<583,40>),|java+method:///weka/core/Optimization/findArgmin(double%5B%5D,double%5B%5D%5B%5D)|,|java+project:///|>>,
