{
  <<|java+class:///weka/filters/unsupervised/attribute/InterquartileRange|,|java+class:///weka/filters/SimpleBatchFilter|>,2,|java+class:///weka/filters/Filter|>,
  <<|java+class:///weka/datagenerators/classifiers/classification/Agrawal|,|java+class:///weka/datagenerators/ClassificationGenerator|>,2,|java+class:///weka/datagenerators/DataGenerator|>,
  <<|java+class:///weka/experiment/RemoteExperiment|,|java+class:///weka/experiment/Experiment|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///weka/experiment/CostSensitiveClassifierSplitEvaluator|,|java+class:///weka/experiment/ClassifierSplitEvaluator|>,2,|java+interface:///weka/core/AdditionalMeasureProducer|>,
  <<|java+class:///weka/core/converters/SVMLightSaver|,|java+class:///weka/core/converters/AbstractFileSaver|>,2,|java+class:///weka/core/converters/AbstractSaver|>,
  <<|java+class:///weka/core/Trie/TrieNode|,|java+class:///javax/swing/tree/DefaultMutableTreeNode|>,2,|java+interface:///javax/swing/tree/TreeNode|>,
  <<|java+class:///weka/experiment/CostSensitiveClassifierSplitEvaluator|,|java+class:///weka/experiment/ClassifierSplitEvaluator|>,2,|java+interface:///weka/core/OptionHandler|>,
  <<|java+class:///weka/attributeSelection/CfsSubsetEval|,|java+class:///weka/attributeSelection/ASEvaluation|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///weka/classifiers/meta/RacedIncrementalLogitBoost|,|java+class:///weka/classifiers/RandomizableSingleClassifierEnhancer|>,2,|java+class:///weka/classifiers/Classifier|>,
  <<|java+class:///weka/core/converters/LibSVMLoader|,|java+class:///weka/core/converters/AbstractFileLoader|>,2,|java+interface:///weka/core/converters/Loader|>,
  <<|java+class:///weka/gui/beans/xml/XMLBeans|,|java+class:///weka/core/xml/XMLBasicSerialization|>,2,|java+class:///java/lang/Object|>,
  <<|java+interface:///weka/gui/beans/IncrementalClassifierListener|,|java+interface:///java/util/EventListener|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///weka/core/neighboursearch/KDTree|,|java+class:///weka/core/neighboursearch/NearestNeighbourSearch|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///weka/filters/Filter|,|java+interface:///weka/core/CapabilitiesHandler|>,2,|java+interface:///weka/core/CapabilitiesHandler|>,
  <<|java+class:///weka/core/converters/CSVLoader|,|java+class:///weka/core/converters/AbstractFileLoader|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///weka/gui/beans/TestSetMaker|,|java+class:///weka/gui/beans/AbstractTestSetProducer|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///weka/filters/unsupervised/attribute/ClassAssigner|,|java+class:///weka/filters/SimpleStreamFilter|>,2,|java+interface:///weka/core/OptionHandler|>,
  <<|java+class:///weka/classifiers/functions/supportVector/RegSMO|,|java+class:///weka/classifiers/functions/supportVector/RegOptimizer|>,2,|java+class:///weka/classifiers/functions/supportVector/RegOptimizer|>,
  <<|java+interface:///weka/gui/beans/BatchClassifierListener|,|java+interface:///java/util/EventListener|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///weka/classifiers/RandomizableSingleClassifierEnhancer|,|java+class:///weka/classifiers/SingleClassifierEnhancer|>,2,|java+class:///weka/classifiers/SingleClassifierEnhancer|>,
  <<|java+class:///weka/filters/SimpleFilter|,|java+class:///weka/filters/Filter|>,2,|java+interface:///weka/core/CapabilitiesHandler|>,
  <<|java+class:///weka/classifiers/bayes/NaiveBayesUpdateable|,|java+class:///weka/classifiers/bayes/NaiveBayes|>,2,|java+class:///weka/classifiers/Classifier|>,
  <<|java+class:///weka/classifiers/bayes/net/GUI/ActionNew|,|java+class:///weka/classifiers/bayes/net/GUI/MyAction|>,2,|java+interface:///javax/swing/Action|>,
  <<|java+class:///weka/gui/beans/Associator|,|java+class:///javax/swing/JPanel|>,2,|java+class:///java/lang/Object|>,
