{
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/depend/constantpool/InterfaceMethodRefCPInfo|,|java+class:///org/apache/tools/ant/taskdefs/optional/depend/constantpool/ConstantPoolEntry|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Tar/TarFileSet|,|java+class:///org/apache/tools/ant/types/TarFileSet|>,2,|java+class:///org/apache/tools/ant/types/FileSet|>,
  <<|java+class:///org/apache/tools/ant/types/FileSet|,|java+class:///org/apache/tools/ant/types/AbstractFileSet|>,2,|java+class:///org/apache/tools/ant/types/DataType|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/BaseSelector|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/AntClassLoader|,|java+class:///java/lang/ClassLoader|>,2,|java+class:///java/lang/ClassLoader|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/LogStreamHandler|,|java+class:///org/apache/tools/ant/taskdefs/PumpStreamHandler|>,2,|java+interface:///org/apache/tools/ant/taskdefs/ExecuteStreamHandler|>,
  <<|java+class:///org/apache/tools/ant/AntClassLoader|,|java+interface:///org/apache/tools/ant/SubBuildListener|>,2,|java+interface:///org/apache/tools/ant/BuildListener|>,
  <<|java+class:///org/apache/tools/ant/util/SplitClassLoader|,|java+class:///org/apache/tools/ant/AntClassLoader|>,2,|java+class:///java/lang/ClassLoader|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/native2ascii/SunNative2Ascii|,|java+class:///org/apache/tools/ant/taskdefs/optional/native2ascii/DefaultNative2Ascii|>,2,|java+interface:///org/apache/tools/ant/taskdefs/optional/native2ascii/Native2AsciiAdapter|>,
  <<|java+class:///org/apache/tools/ant/filters/LineContainsRegExp|,|java+class:///org/apache/tools/ant/filters/BaseParamFilterReader|>,2,|java+class:///java/io/Reader|>,
  <<|java+class:///org/apache/tools/tar/TarInputStream|,|java+class:///java/io/FilterInputStream|>,2,|java+class:///java/io/InputStream|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/compilers/JavacExternal|,|java+class:///org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter|>,2,|java+interface:///org/apache/tools/ant/taskdefs/compilers/CompilerAdapter|>,
  <<|java+class:///org/apache/tools/ant/types/Resource|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Rmic|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+class:///org/apache/tools/zip/AbstractUnicodeExtraField|,|java+interface:///org/apache/tools/zip/ZipExtraField|>,2,|java+interface:///org/apache/tools/zip/ZipExtraField|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/AndSelector|,|java+class:///org/apache/tools/ant/types/selectors/BaseSelectorContainer|>,2,|java+interface:///org/apache/tools/ant/types/selectors/FileSelector|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/jsp/WLJspc|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/types/AbstractFileSet|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///org/apache/tools/ant/types/DataType|>,
  <<|java+class:///org/apache/tools/ant/property/LocalProperties|,|java+class:///java/lang/InheritableThreadLocal|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/resources/URLResource|,|java+class:///org/apache/tools/ant/types/Resource|>,2,|java+interface:///org/apache/tools/ant/types/ResourceCollection|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/cvslib/RedirectingOutputStream|,|java+class:///org/apache/tools/ant/util/LineOrientedOutputStream|>,2,|java+class:///java/io/OutputStream|>,
  <<|java+class:///org/apache/tools/ant/helper/ProjectHelperImpl/TaskHandler|,|java+class:///org/apache/tools/ant/helper/ProjectHelperImpl/AbstractHandler|>,2,|java+interface:///org/xml/sax/DocumentHandler|>,
