[
  <<|java+class:///org/aspectj/weaver/ArrayAnnotationValue|,|java+class:///org/aspectj/weaver/AnnotationValue|>,|project://aspectj-1.6.9_tools/src/org/aspectj/weaver/ArrayAnnotationValue.java|(864,29,<27,2>,<27,31>)>,
  <<|java+class:///org/aspectj/weaver/ArrayAnnotationValue|,|java+class:///org/aspectj/weaver/AnnotationValue|>,|project://aspectj-1.6.9_tools/src/org/aspectj/weaver/ArrayAnnotationValue.java|(684,29,<19,2>,<19,31>)>,
  <<|java+class:///org/aspectj/org/eclipse/jdt/core/search/MethodReferenceMatch|,|java+class:///org/aspectj/org/eclipse/jdt/core/search/SearchMatch|>,|project://aspectj-1.6.9_tools/src/org/aspectj/org/eclipse/jdt/core/search/MethodReferenceMatch.java|(1902,73,<43,2>,<43,75>)>,
  <<|java+class:///org/aspectj/org/eclipse/jdt/internal/core/SourceType|,|java+class:///org/aspectj/org/eclipse/jdt/internal/core/NamedMember|>,|project://aspectj-1.6.9_tools/src/org/aspectj/org/eclipse/jdt/internal/core/SourceType.java|(1903,20,<43,1>,<43,21>)>,
  <<|java+class:///org/aspectj/org/eclipse/jdt/internal/core/TypeParameter|,|java+class:///org/aspectj/org/eclipse/jdt/internal/core/SourceRefElement|>,|project://aspectj-1.6.9_tools/src/org/aspectj/org/eclipse/jdt/internal/core/TypeParameter.java|(1214,14,<29,2>,<29,16>)>,
  <<|java+class:///org/aspectj/weaver/ast/Var|,|java+class:///org/aspectj/weaver/ast/Expr|>,|project://aspectj-1.6.9_tools/src/org/aspectj/weaver/ast/Var.java|(774,8,<22,2>,<22,10>)>,
  <<|java+class:///org/aspectj/ajdt/internal/compiler/ast/IfMethodDeclaration|,|java+class:///org/aspectj/ajdt/internal/compiler/ast/AjMethodDeclaration|>,|project://aspectj-1.6.9_tools/src/org/aspectj/ajdt/internal/compiler/ast/IfMethodDeclaration.java|(1383,25,<30,2>,<30,27>)>,
  <<|java+class:///org/aspectj/weaver/reflect/ReflectionFastMatchInfo|,|java+class:///org/aspectj/weaver/patterns/FastMatchInfo|>,|project://aspectj-1.6.9_tools/src/org/aspectj/weaver/reflect/ReflectionFastMatchInfo.java|(1113,25,<31,2>,<31,27>)>,
  <<|java+class:///org/aspectj/weaver/ResolvedType/Primitive|,|java+class:///org/aspectj/weaver/ResolvedType|>,|project://aspectj-1.6.9_tools/src/org/aspectj/weaver/ResolvedType.java|(37381,23,<1059,3>,<1059,26>)>,
  <<|java+class:///org/aspectj/ajde/ui/swing/ErrorDialog|,|java+class:///javax/swing/JDialog|>,|project://aspectj-1.6.9_tools/src/org/aspectj/ajde/ui/swing/ErrorDialog.java|(1784,26,<48,8>,<48,34>)>,
  <<|java+class:///org/aspectj/org/eclipse/jdt/internal/compiler/parser/Parser|,|java+class:///org/aspectj/org/eclipse/jdt/internal/compiler/parser/TheOriginalJDTParserClass|>,|project://aspectj-1.6.9_tools/src/org/aspectj/org/eclipse/jdt/internal/compiler/parser/Parser.java|(140015,47,<3444,1>,<3444,48>)>,
  <<|java+class:///org/aspectj/apache/bcel/classfile/Unknown|,|java+class:///org/aspectj/apache/bcel/classfile/Attribute|>,|project://aspectj-1.6.9_tools/src/org/aspectj/apache/bcel/classfile/Unknown.java|(4855,65,<112,2>,<112,67>)>,
  <<|java+class:///org/aspectj/org/eclipse/jdt/internal/core/ReconcileWorkingCopyOperation|,|java+class:///org/aspectj/org/eclipse/jdt/internal/core/JavaModelOperation|>,|project://aspectj-1.6.9_tools/src/org/aspectj/org/eclipse/jdt/internal/core/ReconcileWorkingCopyOperation.java|(2842,40,<58,2>,<58,42>)>,
  <<|java+class:///org/aspectj/org/eclipse/jdt/internal/core/search/matching/VariableLocator|,|java+class:///org/aspectj/org/eclipse/jdt/internal/core/search/matching/PatternLocator|>,|project://aspectj-1.6.9_tools/src/org/aspectj/org/eclipse/jdt/internal/core/search/matching/VariableLocator.java|(831,15,<20,1>,<20,16>)>,
