[
  <<|java+class:///org/ganttproject/impex/htmlpdf/ExporterToHTML|,|java+class:///org/ganttproject/impex/htmlpdf/ExporterBase|>,<|project://ganttproject-2.1.1/org.ganttproject.impex.htmlpdf/src/org/ganttproject/impex/htmlpdf/ExporterToHTML.java|(15084,50,<314,12>,<314,62>),|java+method:///org/ganttproject/impex/htmlpdf/ExporterBase/writeTasks(net.sourceforge.ganttproject.task.TaskManager,javax.xml.transform.sax.TransformerHandler)|,|java+method:///org/ganttproject/impex/htmlpdf/ExporterToHTML/getAssignedResourcesDelimiter()|>>,
  <<|java+class:///net/sourceforge/ganttproject/export/ExportFileWizardImpl|,|java+class:///net/sourceforge/ganttproject/gui/projectwizard/WizardImpl|>,<|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/ExportFileWizardImpl.java|(6180,45,<179,12>,<179,57>),|java+method:///net/sourceforge/ganttproject/gui/projectwizard/WizardImpl/adjustButtonState()|,|java+method:///net/sourceforge/ganttproject/export/ExportFileWizardImpl/canFinish()|>>,
  <<|java+class:///net/sourceforge/ganttproject/ResourceLoadGraphicArea|,|java+class:///net/sourceforge/ganttproject/ChartComponentBase|>,<|java+project:///|,|java+method:///net/sourceforge/ganttproject/ChartComponentBase/getSelection()|,|java+method:///net/sourceforge/ganttproject/ResourceLoadGraphicArea/getImplementation()|>>,
  <<|java+class:///net/sourceforge/ganttproject/action/CalculateCriticalPathAction|,|java+class:///net/sourceforge/ganttproject/action/GPAction|>,<|java+project:///|,|java+method:///net/sourceforge/ganttproject/action/GPAction/updateName()|,|java+method:///net/sourceforge/ganttproject/action/CalculateCriticalPathAction/getLocalizedName()|>>,
  <<|java+class:///net/sourceforge/ganttproject/ResourceLoadGraphicArea|,|java+class:///net/sourceforge/ganttproject/ChartComponentBase|>,<|java+project:///|,|java+method:///net/sourceforge/ganttproject/ChartComponentBase/getZoomListener()|,|java+method:///net/sourceforge/ganttproject/ResourceLoadGraphicArea/getImplementation()|>>,
  <<|java+class:///net/sourceforge/ganttproject/GanttGraphicArea|,|java+class:///net/sourceforge/ganttproject/ChartComponentBase|>,<|java+project:///|,|java+method:///net/sourceforge/ganttproject/ChartComponentBase/canPaste(net.sourceforge.ganttproject.chart.ChartSelection)|,|java+method:///net/sourceforge/ganttproject/GanttGraphicArea/getImplementation()|>>,
  <<|java+class:///net/sourceforge/ganttproject/gui/options/LnFSettingsPanel|,|java+class:///net/sourceforge/ganttproject/gui/options/GeneralOptionPanel|>,<|java+project:///|,|java+method:///net/sourceforge/ganttproject/gui/options/GeneralOptionPanel/rollback()|,|java+method:///net/sourceforge/ganttproject/gui/options/LnFSettingsPanel/initialize()|>>,
  <<|java+class:///net/sourceforge/ganttproject/importer/ImportFileWizardImpl|,|java+class:///net/sourceforge/ganttproject/gui/projectwizard/WizardImpl|>,<|java+project:///|,|java+method:///net/sourceforge/ganttproject/gui/projectwizard/WizardImpl/adjustButtonState()|,|java+method:///net/sourceforge/ganttproject/importer/ImportFileWizardImpl/canFinish()|>>,
  <<|java+class:///net/sourceforge/ganttproject/export/ExportFileAction|,|java+class:///net/sourceforge/ganttproject/action/GPAction|>,<|java+project:///|,|java+method:///net/sourceforge/ganttproject/action/GPAction/createIcon(java.lang.String)|,|java+method:///net/sourceforge/ganttproject/export/ExportFileAction/getIconFilePrefix()|>>,
  <<|java+class:///net/sourceforge/ganttproject/task/dependency/TaskDependencySliceAsDependee|,|java+class:///net/sourceforge/ganttproject/task/dependency/TaskDependencySliceImpl|>,<|java+project:///|,|java+method:///net/sourceforge/ganttproject/task/dependency/TaskDependencySliceImpl/clear()|,|java+method:///net/sourceforge/ganttproject/task/dependency/TaskDependencySliceAsDependee/toArray()|>>,
  <<|java+anonymousClass:///net/sourceforge/ganttproject/GanttProjectBase/ViewManagerImpl/$anonymous2|,|java+class:///net/sourceforge/ganttproject/action/GPAction|>,<|java+project:///|,|java+method:///net/sourceforge/ganttproject/action/GPAction/createIcon(java.lang.String)|,|java+method:///net/sourceforge/ganttproject/GanttProjectBase/ViewManagerImpl/$anonymous2/getIconFilePrefix()|>>,
